2013-08-13 00:48:43,720 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.danuplus:web:1.0.0-BUILD-SNAPSHOT @ D:\STS_JUNO\Workspace\Example001\pom.xml.
2013-08-13 00:48:44,277 [Worker-2] WARN  o.e.m.w.WebProjectConfiguratorDelegate - Renamed dependencies will be copied under target
2013-08-13 00:48:48,119 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2013-08-13 00:48:48,124 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2013-08-13 00:48:48,165 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2013-08-13 00:48:48,166 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2013-08-13 01:09:26,649 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.danuplus:web:1.0.0-BUILD-SNAPSHOT @ D:\STS_JUNO\Workspace\Example001\pom.xml.
2013-08-13 01:09:27,015 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2013-08-13 01:09:27,017 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-08-13 01:09:27,018 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2013-08-13 01:09:27,019 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-08-13 01:09:27,019 [Worker-8] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of Example001
2013-08-13 01:09:27,020 [Worker-8] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for Example001
2013-08-13 01:09:27,035 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2013-08-13 06:53:33,488 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2013-08-13 06:53:33,535 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2013-08-13 06:53:33,546 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2013-08-13 06:53:33,547 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2013-08-13 10:12:23,002 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2013-08-13 10:12:23,108 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2013-08-13 10:12:23,122 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2013-08-13 10:12:23,123 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2013-08-13 10:12:24,649 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2013-08-13 10:12:24,651 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-08-13 10:12:24,654 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2013-08-13 10:12:24,655 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-08-13 10:12:32,712 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2013-08-13 10:12:32,712 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-08-13 10:12:32,714 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2013-08-13 10:12:32,715 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-08-13 10:59:02,389 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2013-08-13 10:59:02,389 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-08-13 10:59:02,392 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2013-08-13 10:59:02,392 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-08-13 11:12:27,379 [Worker-15] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for Example001
2013-08-13 11:12:27,779 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2013-08-13 11:12:27,781 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2013-08-13 11:12:27,804 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2013-08-13 11:12:27,805 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2013-08-13 11:12:34,202 [Worker-15] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for Example001
2013-08-13 11:12:34,418 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2013-08-13 11:12:34,419 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2013-08-13 11:12:34,424 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2013-08-13 11:12:34,425 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2013-08-13 11:12:49,975 [Worker-27] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for Example001
2013-08-13 11:12:50,195 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2013-08-13 11:12:50,197 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2013-08-13 11:12:50,201 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2013-08-13 11:12:50,202 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2013-08-13 11:22:52,253 [Worker-9] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.ahsan:web:1.0.0-BUILD-SNAPSHOT @ D:\STS_JUNO\Workspace\Example001\pom.xml.
2013-08-13 11:22:52,487 [Worker-9] WARN  o.e.m.w.WebProjectConfiguratorDelegate - Renamed dependencies will be copied under target
2013-08-13 11:22:54,494 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2013-08-13 11:22:54,498 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2013-08-13 11:22:54,509 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2013-08-13 11:22:54,510 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2013-08-13 11:22:55,167 [Worker-11] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.ahsan:web:1.0.0-BUILD-SNAPSHOT @ D:\STS_JUNO\Workspace\Example001\pom.xml.
2013-08-13 11:22:56,530 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2013-08-13 11:22:56,532 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-08-13 11:22:56,535 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2013-08-13 11:22:56,535 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-08-13 11:23:37,551 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.ahsan:web:1.0.0-BUILD-SNAPSHOT @ D:\STS_JUNO\Workspace\Example001\pom.xml.
2013-08-13 11:23:37,853 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2013-08-13 11:23:37,854 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-08-13 11:23:37,856 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2013-08-13 11:23:37,857 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-08-13 11:23:37,857 [Worker-0] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of Example001
2013-08-13 11:23:37,858 [Worker-0] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for Example001
2013-08-13 11:23:37,873 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2013-08-13 11:24:00,230 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.ahsan:web:1.0.0-BUILD-SNAPSHOT @ D:\STS_JUNO\Workspace\Example001\pom.xml.
2013-08-13 11:24:00,536 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2013-08-13 11:24:00,541 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-08-13 11:24:00,543 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2013-08-13 11:24:00,544 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-08-13 11:24:00,545 [Worker-8] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of Example001
2013-08-13 11:24:00,545 [Worker-8] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for Example001
2013-08-13 11:24:00,551 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2013-08-13 11:26:39,056 [Worker-3] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 8
2013-08-13 11:26:41,397 [New I/O client worker #1-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://repo.maven.apache.org/maven2/org/springframework/spring-context/3.1.1.RELEASE/spring-context-3.1.1.RELEASE.pom
2013-08-13 11:26:41,426 [New I/O client worker #1-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/org/springframework/spring-context/3.1.1.RELEASE/spring-context-3.1.1.RELEASE.pom
2013-08-13 11:26:41,862 [Worker-3] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 8
2013-08-13 11:26:42,613 [New I/O client worker #2-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://repo.maven.apache.org/maven2/org/springframework/spring-parent/3.1.1.RELEASE/spring-parent-3.1.1.RELEASE.pom
2013-08-13 11:26:42,616 [New I/O client worker #2-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/org/springframework/spring-parent/3.1.1.RELEASE/spring-parent-3.1.1.RELEASE.pom
2013-08-13 11:26:42,986 [Worker-3] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 8
2013-08-13 11:26:43,699 [New I/O client worker #3-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://repo.maven.apache.org/maven2/org/springframework/spring-aop/3.1.1.RELEASE/spring-aop-3.1.1.RELEASE.pom
